year,cbsa,cbsaname,education,indicator,value,topmetro,metrosize,overallrank,sizerank
2009-2019,43700,"Somerset, KY",Total,Percentage-Point Change in Employment Rate Gap,0.056237999,0,,,
2014-2019,43700,"Somerset, KY",Total,Percentage-Point Change in Employment Rate Gap,0.179951,0,,,
2018-2019,43700,"Somerset, KY",Total,Percentage-Point Change in Employment Rate Gap,0.213623,0,,,
2009-2019,43740,"Somerset, PA",Total,Percentage-Point Change in Employment Rate Gap,-0.180902,0,,,
2014-2019,43740,"Somerset, PA",Total,Percentage-Point Change in Employment Rate Gap,-0.077436998,0,,,
2018-2019,43740,"Somerset, PA",Total,Percentage-Point Change in Employment Rate Gap,-0.114454,0,,,
2009-2019,43760,"Sonora, CA",Total,Percentage-Point Change in Employment Rate Gap,0.00074,0,,,
2014-2019,43760,"Sonora, CA",Total,Percentage-Point Change in Employment Rate Gap,-0.064717002,0,,,
2018-2019,43760,"Sonora, CA",Total,Percentage-Point Change in Employment Rate Gap,-0.047024999,0,,,
2009-2019,43780,"South Bend-Mishawaka, IN-MI",Total,Percentage-Point Change in Employment Rate Gap,-0.106977,1,Midsized,7,5
2014-2019,43780,"South Bend-Mishawaka, IN-MI",Total,Percentage-Point Change in Employment Rate Gap,-0.008399,1,Midsized,122,43
2018-2019,43780,"South Bend-Mishawaka, IN-MI",Total,Percentage-Point Change in Employment Rate Gap,0.011774,1,Midsized,143,56
2009-2019,43900,"Spartanburg, SC",Total,Percentage-Point Change in Employment Rate Gap,-0.046982002,1,Midsized,59,33
2014-2019,43900,"Spartanburg, SC",Total,Percentage-Point Change in Employment Rate Gap,-0.000932,1,Midsized,138,48
2018-2019,43900,"Spartanburg, SC",Total,Percentage-Point Change in Employment Rate Gap,-0.006026,1,Midsized,97,42
2009-2019,43940,"Spearfish, SD",Total,Percentage-Point Change in Employment Rate Gap,-0.190174,0,,,
2014-2019,43940,"Spearfish, SD",Total,Percentage-Point Change in Employment Rate Gap,-0.031376,0,,,
2018-2019,43940,"Spearfish, SD",Total,Percentage-Point Change in Employment Rate Gap,0.001711,0,,,
2009-2019,43980,"Spencer, IA",Total,Percentage-Point Change in Employment Rate Gap,-0.097695999,0,,,
2014-2019,43980,"Spencer, IA",Total,Percentage-Point Change in Employment Rate Gap,-0.085169002,0,,,
2018-2019,43980,"Spencer, IA",Total,Percentage-Point Change in Employment Rate Gap,-0.055257,0,,,
2009-2019,44020,"Spirit Lake, IA",Total,Percentage-Point Change in Employment Rate Gap,-0.098425999,0,,,
2014-2019,44020,"Spirit Lake, IA",Total,Percentage-Point Change in Employment Rate Gap,-0.085284002,0,,,
2018-2019,44020,"Spirit Lake, IA",Total,Percentage-Point Change in Employment Rate Gap,-0.054024,0,,,
2009-2019,44060,"Spokane-Spokane Valley, WA",Total,Percentage-Point Change in Employment Rate Gap,-0.017016999,1,Large,126,40
2014-2019,44060,"Spokane-Spokane Valley, WA",Total,Percentage-Point Change in Employment Rate Gap,-0.059508,1,Large,18,7
2018-2019,44060,"Spokane-Spokane Valley, WA",Total,Percentage-Point Change in Employment Rate Gap,-0.006185,1,Large,96,27
2009-2019,44100,"Springfield, IL",Total,Percentage-Point Change in Employment Rate Gap,-0.078318998,0,,,
2014-2019,44100,"Springfield, IL",Total,Percentage-Point Change in Employment Rate Gap,-0.01388,0,,,
2018-2019,44100,"Springfield, IL",Total,Percentage-Point Change in Employment Rate Gap,-0.059519999,0,,,
2009-2019,44140,"Springfield, MA",Total,Percentage-Point Change in Employment Rate Gap,-0.058008,1,Large,44,12
2014-2019,44140,"Springfield, MA",Total,Percentage-Point Change in Employment Rate Gap,-0.100453,1,Large,3,1
2018-2019,44140,"Springfield, MA",Total,Percentage-Point Change in Employment Rate Gap,-0.033705,1,Large,31,8
2009-2019,44180,"Springfield, MO",Total,Percentage-Point Change in Employment Rate Gap,0.040633,1,Midsized,186,78
2014-2019,44180,"Springfield, MO",Total,Percentage-Point Change in Employment Rate Gap,-0.063072003,1,Midsized,17,11
2018-2019,44180,"Springfield, MO",Total,Percentage-Point Change in Employment Rate Gap,0.008707,1,Midsized,138,53
2009-2019,44220,"Springfield, OH",Total,Percentage-Point Change in Employment Rate Gap,0.134221,0,,,
2014-2019,44220,"Springfield, OH",Total,Percentage-Point Change in Employment Rate Gap,0.134602,0,,,
2018-2019,44220,"Springfield, OH",Total,Percentage-Point Change in Employment Rate Gap,0.14412101,0,,,
2009-2019,41060,"St. Cloud, MN",Total,Percentage-Point Change in Employment Rate Gap,-0.110923,0,,,
2014-2019,41060,"St. Cloud, MN",Total,Percentage-Point Change in Employment Rate Gap,-0.056297999,0,,,
2018-2019,41060,"St. Cloud, MN",Total,Percentage-Point Change in Employment Rate Gap,-0.025534,0,,,
2009-2019,41100,"St. George, UT",Total,Percentage-Point Change in Employment Rate Gap,-0.025477,0,,,
2014-2019,41100,"St. George, UT",Total,Percentage-Point Change in Employment Rate Gap,-0.009962,0,,,
2018-2019,41100,"St. George, UT",Total,Percentage-Point Change in Employment Rate Gap,-0.052545998,0,,,
2009-2019,41140,"St. Joseph, MO-KS",Total,Percentage-Point Change in Employment Rate Gap,-0.060272001,0,,,
2014-2019,41140,"St. Joseph, MO-KS",Total,Percentage-Point Change in Employment Rate Gap,0.014395,0,,,
2018-2019,41140,"St. Joseph, MO-KS",Total,Percentage-Point Change in Employment Rate Gap,-0.052733999,0,,,
2009-2019,41180,"St. Louis, MO-IL",Total,Percentage-Point Change in Employment Rate Gap,-0.049162,1,Very Large,54,8
2014-2019,41180,"St. Louis, MO-IL",Total,Percentage-Point Change in Employment Rate Gap,-0.046526998,1,Very Large,34,7
2018-2019,41180,"St. Louis, MO-IL",Total,Percentage-Point Change in Employment Rate Gap,-0.024723001,1,Very Large,40,5
2009-2019,41220,"St. Marys, GA",Total,Percentage-Point Change in Employment Rate Gap,0.049607001,0,,,
2014-2019,41220,"St. Marys, GA",Total,Percentage-Point Change in Employment Rate Gap,0.14718901,0,,,
2018-2019,41220,"St. Marys, GA",Total,Percentage-Point Change in Employment Rate Gap,0.060826,0,,,
2009-2019,41260,"St. Marys, PA",Total,Percentage-Point Change in Employment Rate Gap,0.33693999,0,,,
2014-2019,41260,"St. Marys, PA",Total,Percentage-Point Change in Employment Rate Gap,0.052703001,0,,,
2018-2019,41260,"St. Marys, PA",Total,Percentage-Point Change in Employment Rate Gap,0.028221,0,,,
2009-2019,44260,"Starkville, MS",Total,Percentage-Point Change in Employment Rate Gap,0.121974,0,,,
2014-2019,44260,"Starkville, MS",Total,Percentage-Point Change in Employment Rate Gap,0.000969,0,,,
2018-2019,44260,"Starkville, MS",Total,Percentage-Point Change in Employment Rate Gap,-0.008641,0,,,
2009-2019,44300,"State College, PA",Total,Percentage-Point Change in Employment Rate Gap,-0.025086001,0,,,
2014-2019,44300,"State College, PA",Total,Percentage-Point Change in Employment Rate Gap,-0.069101997,0,,,
2018-2019,44300,"State College, PA",Total,Percentage-Point Change in Employment Rate Gap,-0.042135,0,,,
2009-2019,44340,"Statesboro, GA",Total,Percentage-Point Change in Employment Rate Gap,-0.162223,0,,,
2014-2019,44340,"Statesboro, GA",Total,Percentage-Point Change in Employment Rate Gap,-0.075161003,0,,,
2018-2019,44340,"Statesboro, GA",Total,Percentage-Point Change in Employment Rate Gap,0.0142,0,,,
2009-2019,44420,"Staunton, VA",Total,Percentage-Point Change in Employment Rate Gap,0.120631,0,,,
2014-2019,44420,"Staunton, VA",Total,Percentage-Point Change in Employment Rate Gap,0.092224002,0,,,
2018-2019,44420,"Staunton, VA",Total,Percentage-Point Change in Employment Rate Gap,0.033199001,0,,,
2009-2019,44460,"Steamboat Springs, CO",Total,Percentage-Point Change in Employment Rate Gap,0.042594001,0,,,
2014-2019,44460,"Steamboat Springs, CO",Total,Percentage-Point Change in Employment Rate Gap,-0.032382,0,,,
2018-2019,44460,"Steamboat Springs, CO",Total,Percentage-Point Change in Employment Rate Gap,0.042236,0,,,
2009-2019,44500,"Stephenville, TX",Total,Percentage-Point Change in Employment Rate Gap,0.054837,0,,,
2014-2019,44500,"Stephenville, TX",Total,Percentage-Point Change in Employment Rate Gap,0.025168,0,,,
2018-2019,44500,"Stephenville, TX",Total,Percentage-Point Change in Employment Rate Gap,0.029871,0,,,
2009-2019,44540,"Sterling, CO",Total,Percentage-Point Change in Employment Rate Gap,-0.179785,0,,,
2014-2019,44540,"Sterling, CO",Total,Percentage-Point Change in Employment Rate Gap,-0.140496,0,,,
2018-2019,44540,"Sterling, CO",Total,Percentage-Point Change in Employment Rate Gap,-0.071657002,0,,,
2009-2019,44580,"Sterling, IL",Total,Percentage-Point Change in Employment Rate Gap,0.10054,0,,,
2014-2019,44580,"Sterling, IL",Total,Percentage-Point Change in Employment Rate Gap,-0.035262,0,,,
2018-2019,44580,"Sterling, IL",Total,Percentage-Point Change in Employment Rate Gap,0.107969,0,,,
2009-2019,44620,"Stevens Point, WI",Total,Percentage-Point Change in Employment Rate Gap,0.01156,0,,,
2014-2019,44620,"Stevens Point, WI",Total,Percentage-Point Change in Employment Rate Gap,-0.026811,0,,,
2018-2019,44620,"Stevens Point, WI",Total,Percentage-Point Change in Employment Rate Gap,-0.055411,0,,,
2009-2019,44660,"Stillwater, OK",Total,Percentage-Point Change in Employment Rate Gap,0.031842001,0,,,
2014-2019,44660,"Stillwater, OK",Total,Percentage-Point Change in Employment Rate Gap,-0.019618999,0,,,
2018-2019,44660,"Stillwater, OK",Total,Percentage-Point Change in Employment Rate Gap,-0.071611002,0,,,
2009-2019,44700,"Stockton, CA",Total,Percentage-Point Change in Employment Rate Gap,-0.008478,1,Large,153,46
2014-2019,44700,"Stockton, CA",Total,Percentage-Point Change in Employment Rate Gap,-0.004766,1,Large,131,42
2018-2019,44700,"Stockton, CA",Total,Percentage-Point Change in Employment Rate Gap,0.030485,1,Large,173,53
2009-2019,44740,"Storm Lake, IA",Total,Percentage-Point Change in Employment Rate Gap,-0.007637,0,,,
2014-2019,44740,"Storm Lake, IA",Total,Percentage-Point Change in Employment Rate Gap,0.109797,0,,,
2018-2019,44740,"Storm Lake, IA",Total,Percentage-Point Change in Employment Rate Gap,-0.021304,0,,,
2009-2019,44780,"Sturgis, MI",Total,Percentage-Point Change in Employment Rate Gap,0.019881999,0,,,
2014-2019,44780,"Sturgis, MI",Total,Percentage-Point Change in Employment Rate Gap,0.048578002,0,,,
2018-2019,44780,"Sturgis, MI",Total,Percentage-Point Change in Employment Rate Gap,0.075616002,0,,,
2009-2019,44860,"Sulphur Springs, TX",Total,Percentage-Point Change in Employment Rate Gap,-0.076367997,0,,,
2014-2019,44860,"Sulphur Springs, TX",Total,Percentage-Point Change in Employment Rate Gap,0.000964,0,,,
2018-2019,44860,"Sulphur Springs, TX",Total,Percentage-Point Change in Employment Rate Gap,0.018983999,0,,,
2009-2019,44900,"Summerville, GA",Total,Percentage-Point Change in Employment Rate Gap,-0.036726002,0,,,
2014-2019,44900,"Summerville, GA",Total,Percentage-Point Change in Employment Rate Gap,-0.11578,0,,,
2018-2019,44900,"Summerville, GA",Total,Percentage-Point Change in Employment Rate Gap,-0.089464001,0,,,
2009-2019,44940,"Sumter, SC",Total,Percentage-Point Change in Employment Rate Gap,0.01592,0,,,
2014-2019,44940,"Sumter, SC",Total,Percentage-Point Change in Employment Rate Gap,-0.015976001,0,,,
2018-2019,44940,"Sumter, SC",Total,Percentage-Point Change in Employment Rate Gap,-0.007682,0,,,
2009-2019,44980,"Sunbury, PA",Total,Percentage-Point Change in Employment Rate Gap,0.190485,0,,,
2014-2019,44980,"Sunbury, PA",Total,Percentage-Point Change in Employment Rate Gap,-0.080237001,0,,,
2018-2019,44980,"Sunbury, PA",Total,Percentage-Point Change in Employment Rate Gap,-0.064047001,0,,,
2009-2019,45000,"Susanville, CA",Total,Percentage-Point Change in Employment Rate Gap,0.01001,0,,,
2014-2019,45000,"Susanville, CA",Total,Percentage-Point Change in Employment Rate Gap,0.059510998,0,,,
2018-2019,45000,"Susanville, CA",Total,Percentage-Point Change in Employment Rate Gap,-0.011198,0,,,
2009-2019,45020,"Sweetwater, TX",Total,Percentage-Point Change in Employment Rate Gap,-0.019297,0,,,
2014-2019,45020,"Sweetwater, TX",Total,Percentage-Point Change in Employment Rate Gap,-0.082878001,0,,,
2018-2019,45020,"Sweetwater, TX",Total,Percentage-Point Change in Employment Rate Gap,0.004767,0,,,
2009-2019,45060,"Syracuse, NY",Total,Percentage-Point Change in Employment Rate Gap,0.053341001,1,Large,187,56
2014-2019,45060,"Syracuse, NY",Total,Percentage-Point Change in Employment Rate Gap,-0.014023,1,Large,103,31
2018-2019,45060,"Syracuse, NY",Total,Percentage-Point Change in Employment Rate Gap,-0.011299,1,Large,79,23
2009-2019,45140,"Tahlequah, OK",Total,Percentage-Point Change in Employment Rate Gap,-0.046119999,0,,,
2014-2019,45140,"Tahlequah, OK",Total,Percentage-Point Change in Employment Rate Gap,0.022595,0,,,
2018-2019,45140,"Tahlequah, OK",Total,Percentage-Point Change in Employment Rate Gap,0.038442001,0,,,
2009-2019,45180,"Talladega-Sylacauga, AL",Total,Percentage-Point Change in Employment Rate Gap,0.056458998,0,,,
2014-2019,45180,"Talladega-Sylacauga, AL",Total,Percentage-Point Change in Employment Rate Gap,0.036313001,0,,,
2018-2019,45180,"Talladega-Sylacauga, AL",Total,Percentage-Point Change in Employment Rate Gap,0.062661998,0,,,
2009-2019,45220,"Tallahassee, FL",Total,Percentage-Point Change in Employment Rate Gap,-0.074988,1,Midsized,23,17
2014-2019,45220,"Tallahassee, FL",Total,Percentage-Point Change in Employment Rate Gap,-0.065328002,1,Midsized,15,9
2018-2019,45220,"Tallahassee, FL",Total,Percentage-Point Change in Employment Rate Gap,0.012333,1,Midsized,145,57
2009-2019,45300,"Tampa-St. Petersburg-Clearwater, FL",Total,Percentage-Point Change in Employment Rate Gap,-0.031874001,1,Very Large,95,27
2014-2019,45300,"Tampa-St. Petersburg-Clearwater, FL",Total,Percentage-Point Change in Employment Rate Gap,-0.009295,1,Very Large,117,42
2018-2019,45300,"Tampa-St. Petersburg-Clearwater, FL",Total,Percentage-Point Change in Employment Rate Gap,-0.006203,1,Very Large,95,28
2009-2019,45340,"Taos, NM",Total,Percentage-Point Change in Employment Rate Gap,0.017147001,0,,,
2014-2019,45340,"Taos, NM",Total,Percentage-Point Change in Employment Rate Gap,-0.12614501,0,,,
2018-2019,45340,"Taos, NM",Total,Percentage-Point Change in Employment Rate Gap,0.075754002,0,,,
2009-2019,45380,"Taylorville, IL",Total,Percentage-Point Change in Employment Rate Gap,0.219401,0,,,
2014-2019,45380,"Taylorville, IL",Total,Percentage-Point Change in Employment Rate Gap,0.12669399,0,,,
2018-2019,45380,"Taylorville, IL",Total,Percentage-Point Change in Employment Rate Gap,0.15260801,0,,,
2009-2019,45460,"Terre Haute, IN",Total,Percentage-Point Change in Employment Rate Gap,-0.035829,0,,,
2014-2019,45460,"Terre Haute, IN",Total,Percentage-Point Change in Employment Rate Gap,-0.089763001,0,,,
2018-2019,45460,"Terre Haute, IN",Total,Percentage-Point Change in Employment Rate Gap,-0.003979,0,,,
2009-2019,45500,"Texarkana, TX-AR",Total,Percentage-Point Change in Employment Rate Gap,0.041942999,0,,,
2014-2019,45500,"Texarkana, TX-AR",Total,Percentage-Point Change in Employment Rate Gap,-0.010249,0,,,
2018-2019,45500,"Texarkana, TX-AR",Total,Percentage-Point Change in Employment Rate Gap,0.024005,0,,,
2009-2019,45520,"The Dalles, OR",Total,Percentage-Point Change in Employment Rate Gap,-0.030669,0,,,
2014-2019,45520,"The Dalles, OR",Total,Percentage-Point Change in Employment Rate Gap,-0.022554999,0,,,
2018-2019,45520,"The Dalles, OR",Total,Percentage-Point Change in Employment Rate Gap,-0.056267999,0,,,
2009-2019,45540,"The Villages, FL",Total,Percentage-Point Change in Employment Rate Gap,-0.114201,0,,,
2014-2019,45540,"The Villages, FL",Total,Percentage-Point Change in Employment Rate Gap,-0.022657,0,,,
2018-2019,45540,"The Villages, FL",Total,Percentage-Point Change in Employment Rate Gap,0.020113001,0,,,
2009-2019,45580,"Thomaston, GA",Total,Percentage-Point Change in Employment Rate Gap,,0,,,
2014-2019,45580,"Thomaston, GA",Total,Percentage-Point Change in Employment Rate Gap,,0,,,
2018-2019,45580,"Thomaston, GA",Total,Percentage-Point Change in Employment Rate Gap,,0,,,
2009-2019,45620,"Thomasville, GA",Total,Percentage-Point Change in Employment Rate Gap,-0.027830999,0,,,
2014-2019,45620,"Thomasville, GA",Total,Percentage-Point Change in Employment Rate Gap,0.018216001,0,,,
2018-2019,45620,"Thomasville, GA",Total,Percentage-Point Change in Employment Rate Gap,0.030964,0,,,
2009-2019,45660,"Tiffin, OH",Total,Percentage-Point Change in Employment Rate Gap,0.023278,0,,,
2014-2019,45660,"Tiffin, OH",Total,Percentage-Point Change in Employment Rate Gap,-0.084536999,0,,,
2018-2019,45660,"Tiffin, OH",Total,Percentage-Point Change in Employment Rate Gap,0.019024,0,,,
2009-2019,45700,"Tifton, GA",Total,Percentage-Point Change in Employment Rate Gap,0.109262,0,,,
2014-2019,45700,"Tifton, GA",Total,Percentage-Point Change in Employment Rate Gap,0.01026,0,,,
2018-2019,45700,"Tifton, GA",Total,Percentage-Point Change in Employment Rate Gap,0.051368002,0,,,
2009-2019,45740,"Toccoa, GA",Total,Percentage-Point Change in Employment Rate Gap,0.001037,0,,,
2014-2019,45740,"Toccoa, GA",Total,Percentage-Point Change in Employment Rate Gap,0.000684,0,,,
2018-2019,45740,"Toccoa, GA",Total,Percentage-Point Change in Employment Rate Gap,0.041200999,0,,,
2009-2019,45780,"Toledo, OH",Total,Percentage-Point Change in Employment Rate Gap,-0.058060002,1,Large,43,11
2014-2019,45780,"Toledo, OH",Total,Percentage-Point Change in Employment Rate Gap,0.006112,1,Large,155,49
2018-2019,45780,"Toledo, OH",Total,Percentage-Point Change in Employment Rate Gap,0.01412,1,Large,148,41
2009-2019,1,Top 100 Largest Metropolitan Areas,Total,Percentage-Point Change in Employment Rate Gap,,0,,,
2014-2019,1,Top 100 Largest Metropolitan Areas,Total,Percentage-Point Change in Employment Rate Gap,,0,,,
2018-2019,1,Top 100 Largest Metropolitan Areas,Total,Percentage-Point Change in Employment Rate Gap,,0,,,
2009-2019,1,Top Largest Metropolitan Areas,Total,Percentage-Point Change in Employment Rate Gap,,0,,,
2014-2019,1,Top Largest Metropolitan Areas,Total,Percentage-Point Change in Employment Rate Gap,,0,,,
2018-2019,1,Top Largest Metropolitan Areas,Total,Percentage-Point Change in Employment Rate Gap,,0,,,
2009-2019,45820,"Topeka, KS",Total,Percentage-Point Change in Employment Rate Gap,-0.066644996,0,,,
2014-2019,45820,"Topeka, KS",Total,Percentage-Point Change in Employment Rate Gap,0.013868,0,,,
2018-2019,45820,"Topeka, KS",Total,Percentage-Point Change in Employment Rate Gap,-0.019187,0,,,
2009-2019,45860,"Torrington, CT",Total,Percentage-Point Change in Employment Rate Gap,-0.090887003,0,,,
2014-2019,45860,"Torrington, CT",Total,Percentage-Point Change in Employment Rate Gap,-0.027727,0,,,
2018-2019,45860,"Torrington, CT",Total,Percentage-Point Change in Employment Rate Gap,-0.053716999,0,,,
2009-2019,45900,"Traverse City, MI",Total,Percentage-Point Change in Employment Rate Gap,-0.208138,0,,,
2014-2019,45900,"Traverse City, MI",Total,Percentage-Point Change in Employment Rate Gap,-0.107482,0,,,
2018-2019,45900,"Traverse City, MI",Total,Percentage-Point Change in Employment Rate Gap,-0.012414,0,,,
2009-2019,45940,"Trenton-Princeton, NJ",Total,Percentage-Point Change in Employment Rate Gap,-0.034370001,1,Midsized,89,39
2014-2019,45940,"Trenton-Princeton, NJ",Total,Percentage-Point Change in Employment Rate Gap,-0.014944,1,Midsized,98,36
2018-2019,45940,"Trenton-Princeton, NJ",Total,Percentage-Point Change in Employment Rate Gap,-0.025304999,1,Midsized,39,25
2009-2019,45980,"Troy, AL",Total,Percentage-Point Change in Employment Rate Gap,-0.086773001,0,,,
2014-2019,45980,"Troy, AL",Total,Percentage-Point Change in Employment Rate Gap,-0.058145002,0,,,
2018-2019,45980,"Troy, AL",Total,Percentage-Point Change in Employment Rate Gap,-0.055183001,0,,,
2009-2019,46020,"Truckee-Grass Valley, CA",Total,Percentage-Point Change in Employment Rate Gap,-0.084574997,0,,,
2014-2019,46020,"Truckee-Grass Valley, CA",Total,Percentage-Point Change in Employment Rate Gap,0.015688,0,,,
2018-2019,46020,"Truckee-Grass Valley, CA",Total,Percentage-Point Change in Employment Rate Gap,0.025955001,0,,,
2009-2019,46060,"Tucson, AZ",Total,Percentage-Point Change in Employment Rate Gap,-0.048469,1,Very Large,55,9
2014-2019,46060,"Tucson, AZ",Total,Percentage-Point Change in Employment Rate Gap,-0.044178002,1,Very Large,35,8
2018-2019,46060,"Tucson, AZ",Total,Percentage-Point Change in Employment Rate Gap,-0.029513,1,Very Large,36,3
2009-2019,46100,"Tullahoma-Manchester, TN",Total,Percentage-Point Change in Employment Rate Gap,-0.022157,0,,,
2014-2019,46100,"Tullahoma-Manchester, TN",Total,Percentage-Point Change in Employment Rate Gap,-0.038401,0,,,
2018-2019,46100,"Tullahoma-Manchester, TN",Total,Percentage-Point Change in Employment Rate Gap,-0.179406,0,,,
2009-2019,46140,"Tulsa, OK",Total,Percentage-Point Change in Employment Rate Gap,-0.030724,1,Large,99,31
2014-2019,46140,"Tulsa, OK",Total,Percentage-Point Change in Employment Rate Gap,-0.008601,1,Large,121,37
2018-2019,46140,"Tulsa, OK",Total,Percentage-Point Change in Employment Rate Gap,0.015464,1,Large,151,42
2009-2019,46180,"Tupelo, MS",Total,Percentage-Point Change in Employment Rate Gap,-0.087710001,0,,,
2014-2019,46180,"Tupelo, MS",Total,Percentage-Point Change in Employment Rate Gap,-0.040052,0,,,
2018-2019,46180,"Tupelo, MS",Total,Percentage-Point Change in Employment Rate Gap,0.007971,0,,,
2009-2019,46220,"Tuscaloosa, AL",Total,Percentage-Point Change in Employment Rate Gap,-0.026694,1,Midsized,106,43
2014-2019,46220,"Tuscaloosa, AL",Total,Percentage-Point Change in Employment Rate Gap,-0.095328003,1,Midsized,7,5
2018-2019,46220,"Tuscaloosa, AL",Total,Percentage-Point Change in Employment Rate Gap,-0.013801,1,Midsized,69,37
2009-2019,46300,"Twin Falls, ID",Total,Percentage-Point Change in Employment Rate Gap,0.040429998,0,,,
2014-2019,46300,"Twin Falls, ID",Total,Percentage-Point Change in Employment Rate Gap,0.012131,0,,,
2018-2019,46300,"Twin Falls, ID",Total,Percentage-Point Change in Employment Rate Gap,0.043260999,0,,,
2009-2019,46340,"Tyler, TX",Total,Percentage-Point Change in Employment Rate Gap,-0.010498,0,,,
2014-2019,46340,"Tyler, TX",Total,Percentage-Point Change in Employment Rate Gap,0.023413001,0,,,
2018-2019,46340,"Tyler, TX",Total,Percentage-Point Change in Employment Rate Gap,-0.008998,0,,,
2009-2019,46380,"Ukiah, CA",Total,Percentage-Point Change in Employment Rate Gap,0.032258,0,,,
2014-2019,46380,"Ukiah, CA",Total,Percentage-Point Change in Employment Rate Gap,-0.003179,0,,,
2018-2019,46380,"Ukiah, CA",Total,Percentage-Point Change in Employment Rate Gap,0.034320001,0,,,
2009-2019,46460,"Union City, TN",Total,Percentage-Point Change in Employment Rate Gap,-0.105957,0,,,
2014-2019,46460,"Union City, TN",Total,Percentage-Point Change in Employment Rate Gap,0.015,0,,,
2018-2019,46460,"Union City, TN",Total,Percentage-Point Change in Employment Rate Gap,0.082451999,0,,,
2009-2019,46420,"Union, SC",Total,Percentage-Point Change in Employment Rate Gap,,0,,,
2014-2019,46420,"Union, SC",Total,Percentage-Point Change in Employment Rate Gap,,0,,,
2018-2019,46420,"Union, SC",Total,Percentage-Point Change in Employment Rate Gap,,0,,,
2009-2019,46420,"Union, SC ",Total,Percentage-Point Change in Employment Rate Gap,,0,,,
2014-2019,46420,"Union, SC ",Total,Percentage-Point Change in Employment Rate Gap,,0,,,
2018-2019,46420,"Union, SC ",Total,Percentage-Point Change in Employment Rate Gap,,0,,,
2009-2019,99999,United States,Total,Percentage-Point Change in Employment Rate Gap,-0.032012999,0,,,
2014-2019,99999,United States,Total,Percentage-Point Change in Employment Rate Gap,-0.025913,0,,,
2018-2019,99999,United States,Total,Percentage-Point Change in Employment Rate Gap,-0.010305,0,,,
2009-2019,46520,"Urban Honolulu, HI",Total,Percentage-Point Change in Employment Rate Gap,0.029352,1,Large,180,54
2014-2019,46520,"Urban Honolulu, HI",Total,Percentage-Point Change in Employment Rate Gap,0.030026,1,Large,177,56
2018-2019,46520,"Urban Honolulu, HI",Total,Percentage-Point Change in Employment Rate Gap,0.008093,1,Large,137,38
2009-2019,46500,"Urbana, OH",Total,Percentage-Point Change in Employment Rate Gap,-0.013427,0,,,
2014-2019,46500,"Urbana, OH",Total,Percentage-Point Change in Employment Rate Gap,-0.069169,0,,,
2018-2019,46500,"Urbana, OH",Total,Percentage-Point Change in Employment Rate Gap,-0.005333,0,,,
2009-2019,46540,"Utica-Rome, NY",Total,Percentage-Point Change in Employment Rate Gap,-0.147898,1,Midsized,2,2
2014-2019,46540,"Utica-Rome, NY",Total,Percentage-Point Change in Employment Rate Gap,-0.053388,1,Midsized,24,12
2018-2019,46540,"Utica-Rome, NY",Total,Percentage-Point Change in Employment Rate Gap,-0.068254001,1,Midsized,4,4
2009-2019,46620,"Uvalde, TX",Total,Percentage-Point Change in Employment Rate Gap,-0.007545,0,,,
2014-2019,46620,"Uvalde, TX",Total,Percentage-Point Change in Employment Rate Gap,0.069668002,0,,,
2018-2019,46620,"Uvalde, TX",Total,Percentage-Point Change in Employment Rate Gap,0.074198,0,,,
2009-2019,46660,"Valdosta, GA",Total,Percentage-Point Change in Employment Rate Gap,-0.088308997,0,,,
2014-2019,46660,"Valdosta, GA",Total,Percentage-Point Change in Employment Rate Gap,-0.061351001,0,,,
2018-2019,46660,"Valdosta, GA",Total,Percentage-Point Change in Employment Rate Gap,-0.103969,0,,,
2009-2019,46700,"Vallejo, CA",Total,Percentage-Point Change in Employment Rate Gap,-0.004022,1,Midsized,157,62
2014-2019,46700,"Vallejo, CA",Total,Percentage-Point Change in Employment Rate Gap,0.007115,1,Midsized,158,59
2018-2019,46700,"Vallejo, CA",Total,Percentage-Point Change in Employment Rate Gap,0.021242,1,Midsized,162,63
2009-2019,46780,"Van Wert, OH",Total,Percentage-Point Change in Employment Rate Gap,-0.069870003,0,,,
2014-2019,46780,"Van Wert, OH",Total,Percentage-Point Change in Employment Rate Gap,0.002231,0,,,
2018-2019,46780,"Van Wert, OH",Total,Percentage-Point Change in Employment Rate Gap,-0.043235,0,,,
2009-2019,46820,"Vermillion, SD",Total,Percentage-Point Change in Employment Rate Gap,0.212798,0,,,
2014-2019,46820,"Vermillion, SD",Total,Percentage-Point Change in Employment Rate Gap,-0.19720399,0,,,
2018-2019,46820,"Vermillion, SD",Total,Percentage-Point Change in Employment Rate Gap,0.23319601,0,,,
2009-2019,46860,"Vernal, UT",Total,Percentage-Point Change in Employment Rate Gap,0.162211,0,,,
2014-2019,46860,"Vernal, UT",Total,Percentage-Point Change in Employment Rate Gap,0.103823,0,,,
2018-2019,46860,"Vernal, UT",Total,Percentage-Point Change in Employment Rate Gap,0.13995101,0,,,
2009-2019,46900,"Vernon, TX",Total,Percentage-Point Change in Employment Rate Gap,-0.010928,0,,,
2014-2019,46900,"Vernon, TX",Total,Percentage-Point Change in Employment Rate Gap,0.070119999,0,,,
2018-2019,46900,"Vernon, TX",Total,Percentage-Point Change in Employment Rate Gap,0.046868,0,,,
2009-2019,46980,"Vicksburg, MS",Total,Percentage-Point Change in Employment Rate Gap,-0.079511002,0,,,
