year,cbsa,cbsaname,race,education,indicator,value,topmetro,metrosize,overallrank,sizerank
2014-2019,31180,"Lubbock, TX",Total,Total,Percentage-Point Change in Employment Rate,0.028867001,1,Midsized,113,43
2018-2019,31180,"Lubbock, TX",Total,Total,Percentage-Point Change in Employment Rate,0.005803,1,Midsized,104,51
2009-2019,31220,"Ludington, MI",Total,Total,Percentage-Point Change in Employment Rate,0.105602004,0,,,
2014-2019,31220,"Ludington, MI",Total,Total,Percentage-Point Change in Employment Rate,0.123926997,0,,,
2018-2019,31220,"Ludington, MI",Total,Total,Percentage-Point Change in Employment Rate,0.076619998,0,,,
2009-2019,31260,"Lufkin, TX",Total,Total,Percentage-Point Change in Employment Rate,0.060538001,0,,,
2014-2019,31260,"Lufkin, TX",Total,Total,Percentage-Point Change in Employment Rate,0.059016999,0,,,
2018-2019,31260,"Lufkin, TX",Total,Total,Percentage-Point Change in Employment Rate,0.099942997,0,,,
2009-2019,31300,"Lumberton, NC",Total,Total,Percentage-Point Change in Employment Rate,0.020725001,0,,,
2014-2019,31300,"Lumberton, NC",Total,Total,Percentage-Point Change in Employment Rate,0.060674999,0,,,
2018-2019,31300,"Lumberton, NC",Total,Total,Percentage-Point Change in Employment Rate,-0.005375,0,,,
2009-2019,31340,"Lynchburg, VA",Total,Total,Percentage-Point Change in Employment Rate,0.033686001,1,Midsized,110,47
2014-2019,31340,"Lynchburg, VA",Total,Total,Percentage-Point Change in Employment Rate,0.022237999,1,Midsized,147,56
2018-2019,31340,"Lynchburg, VA",Total,Total,Percentage-Point Change in Employment Rate,0.015744001,1,Midsized,48,28
2009-2019,31380,"Macomb, IL",Total,Total,Percentage-Point Change in Employment Rate,0.076843999,0,,,
2014-2019,31380,"Macomb, IL",Total,Total,Percentage-Point Change in Employment Rate,0.039724,0,,,
2018-2019,31380,"Macomb, IL",Total,Total,Percentage-Point Change in Employment Rate,0.01599,0,,,
2009-2019,31420,"Macon-Bibb County, GA",Total,Total,Percentage-Point Change in Employment Rate,,0,,,
2014-2019,31420,"Macon-Bibb County, GA",Total,Total,Percentage-Point Change in Employment Rate,,0,,,
2018-2019,31420,"Macon-Bibb County, GA",Total,Total,Percentage-Point Change in Employment Rate,,0,,,
2009-2019,31420,"Macon-Bibb, GA",Total,Total,Percentage-Point Change in Employment Rate,,0,,,
2014-2019,31420,"Macon-Bibb, GA",Total,Total,Percentage-Point Change in Employment Rate,,0,,,
2018-2019,31420,"Macon-Bibb, GA",Total,Total,Percentage-Point Change in Employment Rate,,0,,,
2009-2019,31460,"Madera, CA",Total,Total,Percentage-Point Change in Employment Rate,0.041905001,0,,,
2014-2019,31460,"Madera, CA",Total,Total,Percentage-Point Change in Employment Rate,0.052804999,0,,,
2018-2019,31460,"Madera, CA",Total,Total,Percentage-Point Change in Employment Rate,0.028812001,0,,,
2009-2019,31500,"Madison, IN",Total,Total,Percentage-Point Change in Employment Rate,0.00819,0,,,
2014-2019,31500,"Madison, IN",Total,Total,Percentage-Point Change in Employment Rate,0.051178001,0,,,
2018-2019,31500,"Madison, IN",Total,Total,Percentage-Point Change in Employment Rate,0.026690001,0,,,
2009-2019,31540,"Madison, WI",Total,Total,Percentage-Point Change in Employment Rate,0.013025,1,Large,160,50
2014-2019,31540,"Madison, WI",Total,Total,Percentage-Point Change in Employment Rate,0.017945001,1,Large,157,46
2018-2019,31540,"Madison, WI",Total,Total,Percentage-Point Change in Employment Rate,-0.000964,1,Large,144,35
2009-2019,31580,"Madisonville, KY",Total,Total,Percentage-Point Change in Employment Rate,0.044259999,0,,,
2014-2019,31580,"Madisonville, KY",Total,Total,Percentage-Point Change in Employment Rate,0.050117001,0,,,
2018-2019,31580,"Madisonville, KY",Total,Total,Percentage-Point Change in Employment Rate,-0.009405,0,,,
2009-2019,31620,"Magnolia, AR",Total,Total,Percentage-Point Change in Employment Rate,0.038005002,0,,,
2014-2019,31620,"Magnolia, AR",Total,Total,Percentage-Point Change in Employment Rate,0.005264,0,,,
2018-2019,31620,"Magnolia, AR",Total,Total,Percentage-Point Change in Employment Rate,0.038940001,0,,,
2009-2019,31660,"Malone, NY",Total,Total,Percentage-Point Change in Employment Rate,-0.016380999,0,,,
2014-2019,31660,"Malone, NY",Total,Total,Percentage-Point Change in Employment Rate,-0.028781001,0,,,
2018-2019,31660,"Malone, NY",Total,Total,Percentage-Point Change in Employment Rate,-0.024203001,0,,,
2009-2019,31680,"Malvern, AR",Total,Total,Percentage-Point Change in Employment Rate,0.034171999,0,,,
2014-2019,31680,"Malvern, AR",Total,Total,Percentage-Point Change in Employment Rate,0.035452001,0,,,
2018-2019,31680,"Malvern, AR",Total,Total,Percentage-Point Change in Employment Rate,0.027618,0,,,
2009-2019,31700,"Manchester-Nashua, NH",Total,Total,Percentage-Point Change in Employment Rate,0.052988999,1,Midsized,45,23
2014-2019,31700,"Manchester-Nashua, NH",Total,Total,Percentage-Point Change in Employment Rate,0.020009,1,Midsized,154,60
2018-2019,31700,"Manchester-Nashua, NH",Total,Total,Percentage-Point Change in Employment Rate,0.008539,1,Midsized,87,43
2009-2019,31740,"Manhattan, KS",Total,Total,Percentage-Point Change in Employment Rate,0.019013001,0,,,
2014-2019,31740,"Manhattan, KS",Total,Total,Percentage-Point Change in Employment Rate,0.039903,0,,,
2018-2019,31740,"Manhattan, KS",Total,Total,Percentage-Point Change in Employment Rate,-0.035629999,0,,,
2009-2019,31820,"Manitowoc, WI",Total,Total,Percentage-Point Change in Employment Rate,0.056566,0,,,
2014-2019,31820,"Manitowoc, WI",Total,Total,Percentage-Point Change in Employment Rate,0.081431001,0,,,
2018-2019,31820,"Manitowoc, WI",Total,Total,Percentage-Point Change in Employment Rate,0.021893,0,,,
2009-2019,31860,"Mankato, MN",Total,Total,Percentage-Point Change in Employment Rate,0.036672998,0,,,
2014-2019,31860,"Mankato, MN",Total,Total,Percentage-Point Change in Employment Rate,0.037521001,0,,,
2018-2019,31860,"Mankato, MN",Total,Total,Percentage-Point Change in Employment Rate,-0.010873,0,,,
2009-2019,31900,"Mansfield, OH",Total,Total,Percentage-Point Change in Employment Rate,0.019171,0,,,
2014-2019,31900,"Mansfield, OH",Total,Total,Percentage-Point Change in Employment Rate,0.069418997,0,,,
2018-2019,31900,"Mansfield, OH",Total,Total,Percentage-Point Change in Employment Rate,0.066287003,0,,,
2009-2019,31930,"Marietta, OH",Total,Total,Percentage-Point Change in Employment Rate,0.048973002,0,,,
2014-2019,31930,"Marietta, OH",Total,Total,Percentage-Point Change in Employment Rate,0.03754,0,,,
2018-2019,31930,"Marietta, OH",Total,Total,Percentage-Point Change in Employment Rate,0.033840001,0,,,
2009-2019,31940,"Marinette, WI-MI",Total,Total,Percentage-Point Change in Employment Rate,-0.01629,0,,,
2014-2019,31940,"Marinette, WI-MI",Total,Total,Percentage-Point Change in Employment Rate,0.053075999,0,,,
2018-2019,31940,"Marinette, WI-MI",Total,Total,Percentage-Point Change in Employment Rate,0.011977,0,,,
2009-2019,31980,"Marion, IN",Total,Total,Percentage-Point Change in Employment Rate,0.077381998,0,,,
2014-2019,31980,"Marion, IN",Total,Total,Percentage-Point Change in Employment Rate,0.031911001,0,,,
2018-2019,31980,"Marion, IN",Total,Total,Percentage-Point Change in Employment Rate,0.049439002,0,,,
2009-2019,32000,"Marion, NC",Total,Total,Percentage-Point Change in Employment Rate,0.047286998,0,,,
2014-2019,32000,"Marion, NC",Total,Total,Percentage-Point Change in Employment Rate,0.036166001,0,,,
2018-2019,32000,"Marion, NC",Total,Total,Percentage-Point Change in Employment Rate,-0.021740001,0,,,
2009-2019,32020,"Marion, OH",Total,Total,Percentage-Point Change in Employment Rate,0.055514,0,,,
2014-2019,32020,"Marion, OH",Total,Total,Percentage-Point Change in Employment Rate,0.055792999,0,,,
2018-2019,32020,"Marion, OH",Total,Total,Percentage-Point Change in Employment Rate,-0.014966,0,,,
2009-2019,32100,"Marquette, MI",Total,Total,Percentage-Point Change in Employment Rate,-0.022146,0,,,
2014-2019,32100,"Marquette, MI",Total,Total,Percentage-Point Change in Employment Rate,0.043113999,0,,,
2018-2019,32100,"Marquette, MI",Total,Total,Percentage-Point Change in Employment Rate,-0.001086,0,,,
2009-2019,32140,"Marshall, MN",Total,Total,Percentage-Point Change in Employment Rate,0.041582,0,,,
2014-2019,32140,"Marshall, MN",Total,Total,Percentage-Point Change in Employment Rate,0.007315,0,,,
2018-2019,32140,"Marshall, MN",Total,Total,Percentage-Point Change in Employment Rate,0.044852,0,,,
2009-2019,32180,"Marshall, MO",Total,Total,Percentage-Point Change in Employment Rate,0.002394,0,,,
2014-2019,32180,"Marshall, MO",Total,Total,Percentage-Point Change in Employment Rate,0.033546999,0,,,
2018-2019,32180,"Marshall, MO",Total,Total,Percentage-Point Change in Employment Rate,0.000159,0,,,
2009-2019,32260,"Marshalltown, IA",Total,Total,Percentage-Point Change in Employment Rate,0.014086,0,,,
2014-2019,32260,"Marshalltown, IA",Total,Total,Percentage-Point Change in Employment Rate,0.029111,0,,,
2018-2019,32260,"Marshalltown, IA",Total,Total,Percentage-Point Change in Employment Rate,0.007998,0,,,
2009-2019,32280,"Martin, TN",Total,Total,Percentage-Point Change in Employment Rate,-0.014966,0,,,
2014-2019,32280,"Martin, TN",Total,Total,Percentage-Point Change in Employment Rate,0.071272999,0,,,
2018-2019,32280,"Martin, TN",Total,Total,Percentage-Point Change in Employment Rate,0.038272999,0,,,
2009-2019,32300,"Martinsville, VA",Total,Total,Percentage-Point Change in Employment Rate,0.054232001,0,,,
2014-2019,32300,"Martinsville, VA",Total,Total,Percentage-Point Change in Employment Rate,0.051134001,0,,,
2018-2019,32300,"Martinsville, VA",Total,Total,Percentage-Point Change in Employment Rate,0.049922999,0,,,
2009-2019,32340,"Maryville, MO",Total,Total,Percentage-Point Change in Employment Rate,0.009988,0,,,
2014-2019,32340,"Maryville, MO",Total,Total,Percentage-Point Change in Employment Rate,-0.00523,0,,,
2018-2019,32340,"Maryville, MO",Total,Total,Percentage-Point Change in Employment Rate,0.002301,0,,,
2009-2019,32380,"Mason City, IA",Total,Total,Percentage-Point Change in Employment Rate,0.008765,0,,,
2014-2019,32380,"Mason City, IA",Total,Total,Percentage-Point Change in Employment Rate,-0.003112,0,,,
2018-2019,32380,"Mason City, IA",Total,Total,Percentage-Point Change in Employment Rate,-0.000801,0,,,
2009-2019,32460,"Mayfield, KY",Total,Total,Percentage-Point Change in Employment Rate,0.040647998,0,,,
2014-2019,32460,"Mayfield, KY",Total,Total,Percentage-Point Change in Employment Rate,0.024615999,0,,,
2018-2019,32460,"Mayfield, KY",Total,Total,Percentage-Point Change in Employment Rate,0.010517,0,,,
2009-2019,32500,"Maysville, KY",Total,Total,Percentage-Point Change in Employment Rate,0.050312001,0,,,
2014-2019,32500,"Maysville, KY",Total,Total,Percentage-Point Change in Employment Rate,0.036924001,0,,,
2018-2019,32500,"Maysville, KY",Total,Total,Percentage-Point Change in Employment Rate,0.011327,0,,,
2009-2019,32540,"McAlester, OK",Total,Total,Percentage-Point Change in Employment Rate,0.013697,0,,,
2014-2019,32540,"McAlester, OK",Total,Total,Percentage-Point Change in Employment Rate,0.003992,0,,,
2018-2019,32540,"McAlester, OK",Total,Total,Percentage-Point Change in Employment Rate,-0.030547,0,,,
2009-2019,32580,"McAllen-Edinburg-Mission, TX",Total,Total,Percentage-Point Change in Employment Rate,0.010977,1,Large,162,51
2014-2019,32580,"McAllen-Edinburg-Mission, TX",Total,Total,Percentage-Point Change in Employment Rate,0.043674,1,Large,43,10
2018-2019,32580,"McAllen-Edinburg-Mission, TX",Total,Total,Percentage-Point Change in Employment Rate,0.00821,1,Large,89,18
2009-2019,32620,"McComb, MS",Total,Total,Percentage-Point Change in Employment Rate,-0.00361,0,,,
2014-2019,32620,"McComb, MS",Total,Total,Percentage-Point Change in Employment Rate,0.060454998,0,,,
2018-2019,32620,"McComb, MS",Total,Total,Percentage-Point Change in Employment Rate,0.069998004,0,,,
2009-2019,32660,"McMinnville, TN",Total,Total,Percentage-Point Change in Employment Rate,0.107543997,0,,,
2014-2019,32660,"McMinnville, TN",Total,Total,Percentage-Point Change in Employment Rate,0.028171999,0,,,
2018-2019,32660,"McMinnville, TN",Total,Total,Percentage-Point Change in Employment Rate,0.035149001,0,,,
2009-2019,32700,"McPherson, KS",Total,Total,Percentage-Point Change in Employment Rate,-0.018494001,0,,,
2014-2019,32700,"McPherson, KS",Total,Total,Percentage-Point Change in Employment Rate,-0.023815,0,,,
2018-2019,32700,"McPherson, KS",Total,Total,Percentage-Point Change in Employment Rate,-0.031051001,0,,,
2009-2019,32740,"Meadville, PA",Total,Total,Percentage-Point Change in Employment Rate,0.081505001,0,,,
2014-2019,32740,"Meadville, PA",Total,Total,Percentage-Point Change in Employment Rate,0.062738001,0,,,
2018-2019,32740,"Meadville, PA",Total,Total,Percentage-Point Change in Employment Rate,0.005975,0,,,
2009-2019,32780,"Medford, OR",Total,Total,Percentage-Point Change in Employment Rate,0.015742,0,,,
2014-2019,32780,"Medford, OR",Total,Total,Percentage-Point Change in Employment Rate,0.036905002,0,,,
2018-2019,32780,"Medford, OR",Total,Total,Percentage-Point Change in Employment Rate,-0.023459001,0,,,
2009-2019,32820,"Memphis, TN-MS-AR",Total,Total,Percentage-Point Change in Employment Rate,0.041228998,1,Very Large,88,33
2014-2019,32820,"Memphis, TN-MS-AR",Total,Total,Percentage-Point Change in Employment Rate,0.036669001,1,Very Large,77,27
2018-2019,32820,"Memphis, TN-MS-AR",Total,Total,Percentage-Point Change in Employment Rate,0.011556,1,Very Large,69,18
2009-2019,32860,"Menomonie, WI",Total,Total,Percentage-Point Change in Employment Rate,0.062024001,0,,,
2014-2019,32860,"Menomonie, WI",Total,Total,Percentage-Point Change in Employment Rate,0.053459998,0,,,
2018-2019,32860,"Menomonie, WI",Total,Total,Percentage-Point Change in Employment Rate,0.001592,0,,,
2009-2019,32900,"Merced, CA",Total,Total,Percentage-Point Change in Employment Rate,0.039765999,1,Midsized,96,43
2014-2019,32900,"Merced, CA",Total,Total,Percentage-Point Change in Employment Rate,0.056201,1,Midsized,17,12
2018-2019,32900,"Merced, CA",Total,Total,Percentage-Point Change in Employment Rate,-0.008694,1,Midsized,170,72
2009-2019,32940,"Meridian, MS",Total,Total,Percentage-Point Change in Employment Rate,-0.001383,0,,,
2014-2019,32940,"Meridian, MS",Total,Total,Percentage-Point Change in Employment Rate,0.035131998,0,,,
2018-2019,32940,"Meridian, MS",Total,Total,Percentage-Point Change in Employment Rate,0.016798999,0,,,
2009-2019,33020,"Mexico, MO",Total,Total,Percentage-Point Change in Employment Rate,0.001563,0,,,
2014-2019,33020,"Mexico, MO",Total,Total,Percentage-Point Change in Employment Rate,0.062270001,0,,,
2018-2019,33020,"Mexico, MO",Total,Total,Percentage-Point Change in Employment Rate,-0.009487,0,,,
2009-2019,33060,"Miami, OK",Total,Total,Percentage-Point Change in Employment Rate,0.00911,0,,,
2014-2019,33060,"Miami, OK",Total,Total,Percentage-Point Change in Employment Rate,0.065540001,0,,,
2018-2019,33060,"Miami, OK",Total,Total,Percentage-Point Change in Employment Rate,0.037021998,0,,,
2009-2019,33100,"Miami-Fort Lauderdale-Pompano Beach, FL",Total,Total,Percentage-Point Change in Employment Rate,0.061866999,1,Very Large,27,6
2014-2019,33100,"Miami-Fort Lauderdale-Pompano Beach, FL",Total,Total,Percentage-Point Change in Employment Rate,0.048622999,1,Very Large,30,5
2018-2019,33100,"Miami-Fort Lauderdale-Pompano Beach, FL",Total,Total,Percentage-Point Change in Employment Rate,0.016140999,1,Very Large,46,9
2009-2019,33140,"Michigan City-La Porte, IN",Total,Total,Percentage-Point Change in Employment Rate,-0.017178001,0,,,
2014-2019,33140,"Michigan City-La Porte, IN",Total,Total,Percentage-Point Change in Employment Rate,0.081174001,0,,,
2018-2019,33140,"Michigan City-La Porte, IN",Total,Total,Percentage-Point Change in Employment Rate,0.034038,0,,,
2009-2019,33180,"Middlesborough, KY",Total,Total,Percentage-Point Change in Employment Rate,0.021569001,0,,,
2014-2019,33180,"Middlesborough, KY",Total,Total,Percentage-Point Change in Employment Rate,0.005122,0,,,
2018-2019,33180,"Middlesborough, KY",Total,Total,Percentage-Point Change in Employment Rate,0.020754,0,,,
2009-2019,33220,"Midland, MI",Total,Total,Percentage-Point Change in Employment Rate,0.046562999,0,,,
2014-2019,33220,"Midland, MI",Total,Total,Percentage-Point Change in Employment Rate,0.037439998,0,,,
2018-2019,33220,"Midland, MI",Total,Total,Percentage-Point Change in Employment Rate,0.005532,0,,,
2009-2019,33260,"Midland, TX",Total,Total,Percentage-Point Change in Employment Rate,0.037549,0,,,
2014-2019,33260,"Midland, TX",Total,Total,Percentage-Point Change in Employment Rate,-0.02447,0,,,
2018-2019,33260,"Midland, TX",Total,Total,Percentage-Point Change in Employment Rate,-0.032189,0,,,
2009-2019,33300,"Milledgeville, GA",Total,Total,Percentage-Point Change in Employment Rate,0.071373999,0,,,
2014-2019,33300,"Milledgeville, GA",Total,Total,Percentage-Point Change in Employment Rate,0.053826999,0,,,
2018-2019,33300,"Milledgeville, GA",Total,Total,Percentage-Point Change in Employment Rate,0.020271,0,,,
2009-2019,33340,"Milwaukee-Waukesha, WI",Total,Total,Percentage-Point Change in Employment Rate,0.049033001,1,Very Large,57,20
2014-2019,33340,"Milwaukee-Waukesha, WI",Total,Total,Percentage-Point Change in Employment Rate,0.038477998,1,Very Large,64,23
2018-2019,33340,"Milwaukee-Waukesha, WI",Total,Total,Percentage-Point Change in Employment Rate,0.004811,1,Very Large,110,35
2009-2019,33380,"Minden, LA",Total,Total,Percentage-Point Change in Employment Rate,,0,,,
2014-2019,33380,"Minden, LA",Total,Total,Percentage-Point Change in Employment Rate,,0,,,
2018-2019,33380,"Minden, LA",Total,Total,Percentage-Point Change in Employment Rate,,0,,,
2009-2019,33380,"Minden, LA ",Total,Total,Percentage-Point Change in Employment Rate,,0,,,
2014-2019,33380,"Minden, LA ",Total,Total,Percentage-Point Change in Employment Rate,,0,,,
2018-2019,33380,"Minden, LA ",Total,Total,Percentage-Point Change in Employment Rate,,0,,,
2009-2019,33420,"Mineral Wells, TX",Total,Total,Percentage-Point Change in Employment Rate,0.119695,0,,,
2014-2019,33420,"Mineral Wells, TX",Total,Total,Percentage-Point Change in Employment Rate,0.02881,0,,,
2018-2019,33420,"Mineral Wells, TX",Total,Total,Percentage-Point Change in Employment Rate,0.010807,0,,,
2009-2019,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",Total,Total,Percentage-Point Change in Employment Rate,0.050848,1,Very Large,52,18
2014-2019,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",Total,Total,Percentage-Point Change in Employment Rate,0.028790001,1,Very Large,114,40
2018-2019,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",Total,Total,Percentage-Point Change in Employment Rate,0.005614,1,Very Large,105,33
2009-2019,33500,"Minot, ND",Total,Total,Percentage-Point Change in Employment Rate,-0.002413,0,,,
2014-2019,33500,"Minot, ND",Total,Total,Percentage-Point Change in Employment Rate,0.027237,0,,,
2018-2019,33500,"Minot, ND",Total,Total,Percentage-Point Change in Employment Rate,-0.006002,0,,,
2009-2019,33540,"Missoula, MT",Total,Total,Percentage-Point Change in Employment Rate,0.046654001,0,,,
2014-2019,33540,"Missoula, MT",Total,Total,Percentage-Point Change in Employment Rate,0.005345,0,,,
2018-2019,33540,"Missoula, MT",Total,Total,Percentage-Point Change in Employment Rate,-0.055167999,0,,,
2009-2019,33580,"Mitchell, SD",Total,Total,Percentage-Point Change in Employment Rate,-0.012236,0,,,
2014-2019,33580,"Mitchell, SD",Total,Total,Percentage-Point Change in Employment Rate,-0.015467,0,,,
2018-2019,33580,"Mitchell, SD",Total,Total,Percentage-Point Change in Employment Rate,0.005706,0,,,
2009-2019,33620,"Moberly, MO",Total,Total,Percentage-Point Change in Employment Rate,0.077503003,0,,,
2014-2019,33620,"Moberly, MO",Total,Total,Percentage-Point Change in Employment Rate,0.033039998,0,,,
2018-2019,33620,"Moberly, MO",Total,Total,Percentage-Point Change in Employment Rate,-0.000555,0,,,
2009-2019,33660,"Mobile, AL",Total,Total,Percentage-Point Change in Employment Rate,0.007694,1,Midsized,167,62
2014-2019,33660,"Mobile, AL",Total,Total,Percentage-Point Change in Employment Rate,0.034901999,1,Midsized,89,35
2018-2019,33660,"Mobile, AL",Total,Total,Percentage-Point Change in Employment Rate,0.013915,1,Midsized,60,35
2009-2019,33700,"Modesto, CA",Total,Total,Percentage-Point Change in Employment Rate,0.055948999,1,Large,39,9
2014-2019,33700,"Modesto, CA",Total,Total,Percentage-Point Change in Employment Rate,0.069532998,1,Large,3,2
2018-2019,33700,"Modesto, CA",Total,Total,Percentage-Point Change in Employment Rate,0.021451,1,Large,29,7
2009-2019,33740,"Monroe, LA",Total,Total,Percentage-Point Change in Employment Rate,0.00534,0,,,
2014-2019,33740,"Monroe, LA",Total,Total,Percentage-Point Change in Employment Rate,0.027711,0,,,
2018-2019,33740,"Monroe, LA",Total,Total,Percentage-Point Change in Employment Rate,0.025630999,0,,,
2009-2019,33780,"Monroe, MI",Total,Total,Percentage-Point Change in Employment Rate,0.054605,0,,,
2014-2019,33780,"Monroe, MI",Total,Total,Percentage-Point Change in Employment Rate,0.010154,0,,,
2018-2019,33780,"Monroe, MI",Total,Total,Percentage-Point Change in Employment Rate,-0.011559,0,,,
2009-2019,33860,"Montgomery, AL",Total,Total,Percentage-Point Change in Employment Rate,0.028248001,1,Midsized,127,51
2014-2019,33860,"Montgomery, AL",Total,Total,Percentage-Point Change in Employment Rate,0.038068,1,Midsized,67,28
2018-2019,33860,"Montgomery, AL",Total,Total,Percentage-Point Change in Employment Rate,0.022071,1,Midsized,27,20
2009-2019,33940,"Montrose, CO",Total,Total,Percentage-Point Change in Employment Rate,-0.029771,0,,,
2014-2019,33940,"Montrose, CO",Total,Total,Percentage-Point Change in Employment Rate,-0.024471,0,,,
2018-2019,33940,"Montrose, CO",Total,Total,Percentage-Point Change in Employment Rate,-0.01134,0,,,
2009-2019,33980,"Morehead City, NC",Total,Total,Percentage-Point Change in Employment Rate,0.015138,0,,,
2014-2019,33980,"Morehead City, NC",Total,Total,Percentage-Point Change in Employment Rate,0.049020998,0,,,
2018-2019,33980,"Morehead City, NC",Total,Total,Percentage-Point Change in Employment Rate,0.027283,0,,,
2009-2019,34020,"Morgan City, LA",Total,Total,Percentage-Point Change in Employment Rate,-0.038035002,0,,,
2014-2019,34020,"Morgan City, LA",Total,Total,Percentage-Point Change in Employment Rate,-0.036564,0,,,
2018-2019,34020,"Morgan City, LA",Total,Total,Percentage-Point Change in Employment Rate,0.006735,0,,,
2009-2019,34060,"Morgantown, WV",Total,Total,Percentage-Point Change in Employment Rate,0.087365001,0,,,
2014-2019,34060,"Morgantown, WV",Total,Total,Percentage-Point Change in Employment Rate,0.100500003,0,,,
2018-2019,34060,"Morgantown, WV",Total,Total,Percentage-Point Change in Employment Rate,0.024914,0,,,
2009-2019,34100,"Morristown, TN",Total,Total,Percentage-Point Change in Employment Rate,0.036035001,0,,,
2014-2019,34100,"Morristown, TN",Total,Total,Percentage-Point Change in Employment Rate,0.037186999,0,,,
2018-2019,34100,"Morristown, TN",Total,Total,Percentage-Point Change in Employment Rate,0.030471001,0,,,
2009-2019,34140,"Moscow, ID",Total,Total,Percentage-Point Change in Employment Rate,0.008926,0,,,
2014-2019,34140,"Moscow, ID",Total,Total,Percentage-Point Change in Employment Rate,0.077799998,0,,,
2018-2019,34140,"Moscow, ID",Total,Total,Percentage-Point Change in Employment Rate,0.033151001,0,,,
2009-2019,34180,"Moses Lake, WA",Total,Total,Percentage-Point Change in Employment Rate,0.073243,0,,,
2014-2019,34180,"Moses Lake, WA",Total,Total,Percentage-Point Change in Employment Rate,0.025697,0,,,
2018-2019,34180,"Moses Lake, WA",Total,Total,Percentage-Point Change in Employment Rate,0.0005,0,,,
2009-2019,34220,"Moultrie, GA",Total,Total,Percentage-Point Change in Employment Rate,0.100037999,0,,,
2014-2019,34220,"Moultrie, GA",Total,Total,Percentage-Point Change in Employment Rate,0.040715002,0,,,
2018-2019,34220,"Moultrie, GA",Total,Total,Percentage-Point Change in Employment Rate,0.002006,0,,,
2009-2019,34340,"Mount Airy, NC",Total,Total,Percentage-Point Change in Employment Rate,0.047920998,0,,,
2014-2019,34340,"Mount Airy, NC",Total,Total,Percentage-Point Change in Employment Rate,0.063162997,0,,,
2018-2019,34340,"Mount Airy, NC",Total,Total,Percentage-Point Change in Employment Rate,0.015425,0,,,
2009-2019,34350,"Mount Gay-Shamrock, WV",Total,Total,Percentage-Point Change in Employment Rate,-0.057562999,0,,,
2014-2019,34350,"Mount Gay-Shamrock, WV",Total,Total,Percentage-Point Change in Employment Rate,0.005694,0,,,
2018-2019,34350,"Mount Gay-Shamrock, WV",Total,Total,Percentage-Point Change in Employment Rate,0.033046,0,,,
2009-2019,34380,"Mount Pleasant, MI",Total,Total,Percentage-Point Change in Employment Rate,0.008771,0,,,
2014-2019,34380,"Mount Pleasant, MI",Total,Total,Percentage-Point Change in Employment Rate,-0.006886,0,,,
2018-2019,34380,"Mount Pleasant, MI",Total,Total,Percentage-Point Change in Employment Rate,-0.033546001,0,,,
2009-2019,34420,"Mount Pleasant, TX",Total,Total,Percentage-Point Change in Employment Rate,0.03655,0,,,
2014-2019,34420,"Mount Pleasant, TX",Total,Total,Percentage-Point Change in Employment Rate,0.044723,0,,,
2018-2019,34420,"Mount Pleasant, TX",Total,Total,Percentage-Point Change in Employment Rate,0.027853001,0,,,
2009-2019,34460,"Mount Sterling, KY",Total,Total,Percentage-Point Change in Employment Rate,0.050666001,0,,,
2014-2019,34460,"Mount Sterling, KY",Total,Total,Percentage-Point Change in Employment Rate,0.036157001,0,,,
2018-2019,34460,"Mount Sterling, KY",Total,Total,Percentage-Point Change in Employment Rate,0.01166,0,,,
2009-2019,34500,"Mount Vernon, IL",Total,Total,Percentage-Point Change in Employment Rate,0.084443003,0,,,
2014-2019,34500,"Mount Vernon, IL",Total,Total,Percentage-Point Change in Employment Rate,0.013929,0,,,
2018-2019,34500,"Mount Vernon, IL",Total,Total,Percentage-Point Change in Employment Rate,-0.01396,0,,,
2009-2019,34540,"Mount Vernon, OH",Total,Total,Percentage-Point Change in Employment Rate,0.054292001,0,,,
2014-2019,34540,"Mount Vernon, OH",Total,Total,Percentage-Point Change in Employment Rate,0.055854,0,,,
2018-2019,34540,"Mount Vernon, OH",Total,Total,Percentage-Point Change in Employment Rate,-0.014307,0,,,
2009-2019,34580,"Mount Vernon-Anacortes, WA",Total,Total,Percentage-Point Change in Employment Rate,0.059962001,0,,,
2014-2019,34580,"Mount Vernon-Anacortes, WA",Total,Total,Percentage-Point Change in Employment Rate,0.060031001,0,,,
2018-2019,34580,"Mount Vernon-Anacortes, WA",Total,Total,Percentage-Point Change in Employment Rate,0.02513,0,,,
2009-2019,34260,"Mountain Home, AR",Total,Total,Percentage-Point Change in Employment Rate,0.064713001,0,,,
2014-2019,34260,"Mountain Home, AR",Total,Total,Percentage-Point Change in Employment Rate,0.083809003,0,,,
2018-2019,34260,"Mountain Home, AR",Total,Total,Percentage-Point Change in Employment Rate,0.003457,0,,,
2009-2019,34300,"Mountain Home, ID",Total,Total,Percentage-Point Change in Employment Rate,0.051385,0,,,
2014-2019,34300,"Mountain Home, ID",Total,Total,Percentage-Point Change in Employment Rate,-0.012337,0,,,
2018-2019,34300,"Mountain Home, ID",Total,Total,Percentage-Point Change in Employment Rate,-0.00362,0,,,
2009-2019,34620,"Muncie, IN",Total,Total,Percentage-Point Change in Employment Rate,0.065943003,0,,,
2014-2019,34620,"Muncie, IN",Total,Total,Percentage-Point Change in Employment Rate,-0.004809,0,,,
