year,cbsa,cbsaname,race,education,indicator,value,topmetro,metrosize
2011,48900,"Wilmington, NC",Total,Total,Median Earnings,26783.68555,1,Midsized
2012,48900,"Wilmington, NC",Total,Total,Median Earnings,27666.28125,1,Midsized
2013,48900,"Wilmington, NC",Total,Total,Median Earnings,27745.30078,1,Midsized
2014,48900,"Wilmington, NC",Total,Total,Median Earnings,30988.24219,1,Midsized
2015,48900,"Wilmington, NC",Total,Total,Median Earnings,28422.72656,1,Midsized
2016,48900,"Wilmington, NC",Total,Total,Median Earnings,31913.93555,1,Midsized
2017,48900,"Wilmington, NC",Total,Total,Median Earnings,31279.97266,1,Midsized
2018,48900,"Wilmington, NC",Total,Total,Median Earnings,30596.35352,1,Midsized
2019,48900,"Wilmington, NC",Total,Total,Median Earnings,30961.57617,1,Midsized
2009,48940,"Wilmington, OH",Total,Total,Median Earnings,28567.93359,0,
2010,48940,"Wilmington, OH",Total,Total,Median Earnings,26404.98438,0,
2011,48940,"Wilmington, OH",Total,Total,Median Earnings,24659.5332,0,
2012,48940,"Wilmington, OH",Total,Total,Median Earnings,27396.50391,0,
2013,48940,"Wilmington, OH",Total,Total,Median Earnings,26719.56445,0,
2014,48940,"Wilmington, OH",Total,Total,Median Earnings,28891.57227,0,
2015,48940,"Wilmington, OH",Total,Total,Median Earnings,30363.57031,0,
2016,48940,"Wilmington, OH",Total,Total,Median Earnings,29501.18555,0,
2017,48940,"Wilmington, OH",Total,Total,Median Earnings,28184.02148,0,
2018,48940,"Wilmington, OH",Total,Total,Median Earnings,32351.15039,0,
2019,48940,"Wilmington, OH",Total,Total,Median Earnings,29669.26953,0,
2009,48980,"Wilson, NC",Total,Total,Median Earnings,28617.39648,0,
2010,48980,"Wilson, NC",Total,Total,Median Earnings,28510.63281,0,
2011,48980,"Wilson, NC",Total,Total,Median Earnings,26907.82422,0,
2012,48980,"Wilson, NC",Total,Total,Median Earnings,26565.7207,0,
2013,48980,"Wilson, NC",Total,Total,Median Earnings,29149.67578,0,
2014,48980,"Wilson, NC",Total,Total,Median Earnings,27898.25781,0,
2015,48980,"Wilson, NC",Total,Total,Median Earnings,25473.91992,0,
2016,48980,"Wilson, NC",Total,Total,Median Earnings,25981.56836,0,
2017,48980,"Wilson, NC",Total,Total,Median Earnings,28475.43359,0,
2018,48980,"Wilson, NC",Total,Total,Median Earnings,25492.09375,0,
2019,48980,"Wilson, NC",Total,Total,Median Earnings,30198.9668,0,
2009,49020,"Winchester, VA-WV",Total,Total,Median Earnings,32925.96875,0,
2010,49020,"Winchester, VA-WV",Total,Total,Median Earnings,34484.36328,0,
2011,49020,"Winchester, VA-WV",Total,Total,Median Earnings,33962.82813,0,
2012,49020,"Winchester, VA-WV",Total,Total,Median Earnings,36500.875,0,
2013,49020,"Winchester, VA-WV",Total,Total,Median Earnings,35526.15625,0,
2014,49020,"Winchester, VA-WV",Total,Total,Median Earnings,31989.20898,0,
2015,49020,"Winchester, VA-WV",Total,Total,Median Earnings,37276.39844,0,
2016,49020,"Winchester, VA-WV",Total,Total,Median Earnings,36830.41016,0,
2017,49020,"Winchester, VA-WV",Total,Total,Median Earnings,36937.11328,0,
2018,49020,"Winchester, VA-WV",Total,Total,Median Earnings,38777.51172,0,
2019,49020,"Winchester, VA-WV",Total,Total,Median Earnings,38142.67188,0,
2009,49060,"Winfield, KS",Total,Total,Median Earnings,28076.7832,0,
2010,49060,"Winfield, KS",Total,Total,Median Earnings,25231.15234,0,
2011,49060,"Winfield, KS",Total,Total,Median Earnings,26404.00391,0,
2012,49060,"Winfield, KS",Total,Total,Median Earnings,25171.92773,0,
2013,49060,"Winfield, KS",Total,Total,Median Earnings,26767.67969,0,
2014,49060,"Winfield, KS",Total,Total,Median Earnings,25851.50781,0,
2015,49060,"Winfield, KS",Total,Total,Median Earnings,29405.49414,0,
2016,49060,"Winfield, KS",Total,Total,Median Earnings,28366.10547,0,
2017,49060,"Winfield, KS",Total,Total,Median Earnings,28920.4043,0,
2018,49060,"Winfield, KS",Total,Total,Median Earnings,27825.26563,0,
2019,49060,"Winfield, KS",Total,Total,Median Earnings,29918.26758,0,
2009,49080,"Winnemucca, NV",Total,Total,Median Earnings,32368.94531,0,
2010,49080,"Winnemucca, NV",Total,Total,Median Earnings,30977.72852,0,
2011,49080,"Winnemucca, NV",Total,Total,Median Earnings,32200.5957,0,
2012,49080,"Winnemucca, NV",Total,Total,Median Earnings,34762.90625,0,
2013,49080,"Winnemucca, NV",Total,Total,Median Earnings,35576.92969,0,
2014,49080,"Winnemucca, NV",Total,Total,Median Earnings,32700.63086,0,
2015,49080,"Winnemucca, NV",Total,Total,Median Earnings,32973.55469,0,
2016,49080,"Winnemucca, NV",Total,Total,Median Earnings,37732.79297,0,
2017,49080,"Winnemucca, NV",Total,Total,Median Earnings,36494.99219,0,
2018,49080,"Winnemucca, NV",Total,Total,Median Earnings,40212.28906,0,
2019,49080,"Winnemucca, NV",Total,Total,Median Earnings,37686.83594,0,
2009,49100,"Winona, MN",Total,Total,Median Earnings,28810.46875,0,
2010,49100,"Winona, MN",Total,Total,Median Earnings,27884.73633,0,
2011,49100,"Winona, MN",Total,Total,Median Earnings,28364.38086,0,
2012,49100,"Winona, MN",Total,Total,Median Earnings,30900.18359,0,
2013,49100,"Winona, MN",Total,Total,Median Earnings,27106.16211,0,
2014,49100,"Winona, MN",Total,Total,Median Earnings,31982.72656,0,
2015,49100,"Winona, MN",Total,Total,Median Earnings,31816.5918,0,
2016,49100,"Winona, MN",Total,Total,Median Earnings,31501.48633,0,
2017,49100,"Winona, MN",Total,Total,Median Earnings,30856.15039,0,
2018,49100,"Winona, MN",Total,Total,Median Earnings,34418.80078,0,
2019,49100,"Winona, MN",Total,Total,Median Earnings,34297.90625,0,
2009,49180,"Winston-Salem, NC",Total,Total,Median Earnings,32479.73438,1,Large
2010,49180,"Winston-Salem, NC",Total,Total,Median Earnings,31929.7168,1,Large
2011,49180,"Winston-Salem, NC",Total,Total,Median Earnings,29373.59961,1,Large
2012,49180,"Winston-Salem, NC",Total,Total,Median Earnings,30940.67383,1,Large
2013,49180,"Winston-Salem, NC",Total,Total,Median Earnings,30455.3125,1,Large
2014,49180,"Winston-Salem, NC",Total,Total,Median Earnings,29834.80859,1,Large
2015,49180,"Winston-Salem, NC",Total,Total,Median Earnings,31694.11914,1,Large
2016,49180,"Winston-Salem, NC",Total,Total,Median Earnings,30534.14063,1,Large
2017,49180,"Winston-Salem, NC",Total,Total,Median Earnings,31112.8418,1,Large
2018,49180,"Winston-Salem, NC",Total,Total,Median Earnings,32581.57227,1,Large
2019,49180,"Winston-Salem, NC",Total,Total,Median Earnings,32419.79883,1,Large
2009,49220,"Wisconsin Rapids-Marshfield, WI",Total,Total,Median Earnings,28920.54297,0,
2010,49220,"Wisconsin Rapids-Marshfield, WI",Total,Total,Median Earnings,28358.44531,0,
2011,49220,"Wisconsin Rapids-Marshfield, WI",Total,Total,Median Earnings,28425.12695,0,
2012,49220,"Wisconsin Rapids-Marshfield, WI",Total,Total,Median Earnings,27468.1875,0,
2013,49220,"Wisconsin Rapids-Marshfield, WI",Total,Total,Median Earnings,25936.17578,0,
2014,49220,"Wisconsin Rapids-Marshfield, WI",Total,Total,Median Earnings,32009.89258,0,
2015,49220,"Wisconsin Rapids-Marshfield, WI",Total,Total,Median Earnings,31894.4043,0,
2016,49220,"Wisconsin Rapids-Marshfield, WI",Total,Total,Median Earnings,33535.24219,0,
2017,49220,"Wisconsin Rapids-Marshfield, WI",Total,Total,Median Earnings,31026.61523,0,
2018,49220,"Wisconsin Rapids-Marshfield, WI",Total,Total,Median Earnings,31292.81055,0,
2019,49220,"Wisconsin Rapids-Marshfield, WI",Total,Total,Median Earnings,33493.66016,0,
2009,49260,"Woodward, OK",Total,Total,Median Earnings,28391.52539,0,
2010,49260,"Woodward, OK",Total,Total,Median Earnings,27679.51953,0,
2011,49260,"Woodward, OK",Total,Total,Median Earnings,29651.69922,0,
2012,49260,"Woodward, OK",Total,Total,Median Earnings,30162.6875,0,
2013,49260,"Woodward, OK",Total,Total,Median Earnings,32339.93945,0,
2014,49260,"Woodward, OK",Total,Total,Median Earnings,34424.67578,0,
2015,49260,"Woodward, OK",Total,Total,Median Earnings,29292.78906,0,
2016,49260,"Woodward, OK",Total,Total,Median Earnings,31459.38867,0,
2017,49260,"Woodward, OK",Total,Total,Median Earnings,30058.88672,0,
2018,49260,"Woodward, OK",Total,Total,Median Earnings,28454.24805,0,
2019,49260,"Woodward, OK",Total,Total,Median Earnings,29816.95117,0,
2009,49300,"Wooster, OH",Total,Total,Median Earnings,27949.41602,0,
2010,49300,"Wooster, OH",Total,Total,Median Earnings,28618.21484,0,
2011,49300,"Wooster, OH",Total,Total,Median Earnings,29432.13477,0,
2012,49300,"Wooster, OH",Total,Total,Median Earnings,30237.82813,0,
2013,49300,"Wooster, OH",Total,Total,Median Earnings,27130.35742,0,
2014,49300,"Wooster, OH",Total,Total,Median Earnings,30242.01563,0,
2015,49300,"Wooster, OH",Total,Total,Median Earnings,29189.33008,0,
2016,49300,"Wooster, OH",Total,Total,Median Earnings,30434.82422,0,
2017,49300,"Wooster, OH",Total,Total,Median Earnings,29395.2793,0,
2018,49300,"Wooster, OH",Total,Total,Median Earnings,30318.03125,0,
2019,49300,"Wooster, OH",Total,Total,Median Earnings,30395.98242,0,
2009,49340,"Worcester, MA-CT",Total,Total,Median Earnings,40073.22656,1,Large
2010,49340,"Worcester, MA-CT",Total,Total,Median Earnings,38527.72266,1,Large
2011,49340,"Worcester, MA-CT",Total,Total,Median Earnings,39081.42578,1,Large
2012,49340,"Worcester, MA-CT",Total,Total,Median Earnings,38640.54688,1,Large
2013,49340,"Worcester, MA-CT",Total,Total,Median Earnings,37993.77734,1,Large
2014,49340,"Worcester, MA-CT",Total,Total,Median Earnings,37557.07422,1,Large
2015,49340,"Worcester, MA-CT",Total,Total,Median Earnings,38951.71875,1,Large
2016,49340,"Worcester, MA-CT",Total,Total,Median Earnings,41802.83984,1,Large
2017,49340,"Worcester, MA-CT",Total,Total,Median Earnings,41727.75,1,Large
2018,49340,"Worcester, MA-CT",Total,Total,Median Earnings,41019.04688,1,Large
2019,49340,"Worcester, MA-CT",Total,Total,Median Earnings,41743.12109,1,Large
2009,49380,"Worthington, MN",Total,Total,Median Earnings,27923.77539,0,
2010,49380,"Worthington, MN",Total,Total,Median Earnings,28359.76367,0,
2011,49380,"Worthington, MN",Total,Total,Median Earnings,29491.85547,0,
2012,49380,"Worthington, MN",Total,Total,Median Earnings,27512.02148,0,
2013,49380,"Worthington, MN",Total,Total,Median Earnings,27819.45313,0,
2014,49380,"Worthington, MN",Total,Total,Median Earnings,26743.09375,0,
2015,49380,"Worthington, MN",Total,Total,Median Earnings,31012.82031,0,
2016,49380,"Worthington, MN",Total,Total,Median Earnings,31564.99219,0,
2017,49380,"Worthington, MN",Total,Total,Median Earnings,30851.64844,0,
2018,49380,"Worthington, MN",Total,Total,Median Earnings,32464.83984,0,
2019,49380,"Worthington, MN",Total,Total,Median Earnings,33853.82031,0,
2009,49420,"Yakima, WA",Total,Total,Median Earnings,25242.70117,1,Midsized
2010,49420,"Yakima, WA",Total,Total,Median Earnings,22956.77539,1,Midsized
2011,49420,"Yakima, WA",Total,Total,Median Earnings,24985.53906,1,Midsized
2012,49420,"Yakima, WA",Total,Total,Median Earnings,22754.75586,1,Midsized
2013,49420,"Yakima, WA",Total,Total,Median Earnings,23907.89453,1,Midsized
2014,49420,"Yakima, WA",Total,Total,Median Earnings,24294.42969,1,Midsized
2015,49420,"Yakima, WA",Total,Total,Median Earnings,25824.99609,1,Midsized
2016,49420,"Yakima, WA",Total,Total,Median Earnings,27351.89648,1,Midsized
2017,49420,"Yakima, WA",Total,Total,Median Earnings,26752.93555,1,Midsized
2018,49420,"Yakima, WA",Total,Total,Median Earnings,27415.98633,1,Midsized
2019,49420,"Yakima, WA",Total,Total,Median Earnings,29890.27539,1,Midsized
2009,49460,"Yankton, SD",Total,Total,Median Earnings,32469.4043,0,
2010,49460,"Yankton, SD",Total,Total,Median Earnings,34586.44531,0,
2011,49460,"Yankton, SD",Total,Total,Median Earnings,36015.11719,0,
2012,49460,"Yankton, SD",Total,Total,Median Earnings,28535.34766,0,
2013,49460,"Yankton, SD",Total,Total,Median Earnings,33897.91016,0,
2014,49460,"Yankton, SD",Total,Total,Median Earnings,32061.57031,0,
2015,49460,"Yankton, SD",Total,Total,Median Earnings,29339.33008,0,
2016,49460,"Yankton, SD",Total,Total,Median Earnings,35104.92969,0,
2017,49460,"Yankton, SD",Total,Total,Median Earnings,36050.13281,0,
2018,49460,"Yankton, SD",Total,Total,Median Earnings,35519.70703,0,
2019,49460,"Yankton, SD",Total,Total,Median Earnings,36916.08984,0,
2009,49620,"York-Hanover, PA",Total,Total,Median Earnings,34467.79297,1,Midsized
2010,49620,"York-Hanover, PA",Total,Total,Median Earnings,36507.66797,1,Midsized
2011,49620,"York-Hanover, PA",Total,Total,Median Earnings,33839.28906,1,Midsized
2012,49620,"York-Hanover, PA",Total,Total,Median Earnings,33030.78516,1,Midsized
2013,49620,"York-Hanover, PA",Total,Total,Median Earnings,34759.72266,1,Midsized
2014,49620,"York-Hanover, PA",Total,Total,Median Earnings,34083.64453,1,Midsized
2015,49620,"York-Hanover, PA",Total,Total,Median Earnings,32789.77344,1,Midsized
2016,49620,"York-Hanover, PA",Total,Total,Median Earnings,36705.61719,1,Midsized
2017,49620,"York-Hanover, PA",Total,Total,Median Earnings,36459.04688,1,Midsized
2018,49620,"York-Hanover, PA",Total,Total,Median Earnings,37550.90625,1,Midsized
2019,49620,"York-Hanover, PA",Total,Total,Median Earnings,39193.47656,1,Midsized
2009,49660,"Youngstown-Warren-Boardman, OH-PA",Total,Total,Median Earnings,27966.57227,1,Large
2010,49660,"Youngstown-Warren-Boardman, OH-PA",Total,Total,Median Earnings,27489.7168,1,Large
2011,49660,"Youngstown-Warren-Boardman, OH-PA",Total,Total,Median Earnings,26963.91016,1,Large
2012,49660,"Youngstown-Warren-Boardman, OH-PA",Total,Total,Median Earnings,27253.16992,1,Large
2013,49660,"Youngstown-Warren-Boardman, OH-PA",Total,Total,Median Earnings,26899.11328,1,Large
2014,49660,"Youngstown-Warren-Boardman, OH-PA",Total,Total,Median Earnings,26882.24414,1,Large
2015,49660,"Youngstown-Warren-Boardman, OH-PA",Total,Total,Median Earnings,27864.02148,1,Large
2016,49660,"Youngstown-Warren-Boardman, OH-PA",Total,Total,Median Earnings,29526.86328,1,Large
2017,49660,"Youngstown-Warren-Boardman, OH-PA",Total,Total,Median Earnings,27911.125,1,Large
2018,49660,"Youngstown-Warren-Boardman, OH-PA",Total,Total,Median Earnings,30495.49219,1,Large
2019,49660,"Youngstown-Warren-Boardman, OH-PA",Total,Total,Median Earnings,31438.97656,1,Large
2009,49700,"Yuba City, CA",Total,Total,Median Earnings,27967.56641,0,
2010,49700,"Yuba City, CA",Total,Total,Median Earnings,25378.26953,0,
2011,49700,"Yuba City, CA",Total,Total,Median Earnings,25397.91406,0,
2012,49700,"Yuba City, CA",Total,Total,Median Earnings,30022.73438,0,
2013,49700,"Yuba City, CA",Total,Total,Median Earnings,26764.64063,0,
2014,49700,"Yuba City, CA",Total,Total,Median Earnings,27882.31055,0,
2015,49700,"Yuba City, CA",Total,Total,Median Earnings,27493.91797,0,
2016,49700,"Yuba City, CA",Total,Total,Median Earnings,26526.0625,0,
2017,49700,"Yuba City, CA",Total,Total,Median Earnings,31364.44141,0,
2018,49700,"Yuba City, CA",Total,Total,Median Earnings,30129.86523,0,
2019,49700,"Yuba City, CA",Total,Total,Median Earnings,31805.64453,0,
2009,49740,"Yuma, AZ",Total,Total,Median Earnings,25330.75586,0,
2010,49740,"Yuma, AZ",Total,Total,Median Earnings,23964.92969,0,
2011,49740,"Yuma, AZ",Total,Total,Median Earnings,23719.16797,0,
2012,49740,"Yuma, AZ",Total,Total,Median Earnings,22011.21875,0,
2013,49740,"Yuma, AZ",Total,Total,Median Earnings,23624.06445,0,
2014,49740,"Yuma, AZ",Total,Total,Median Earnings,21445.49609,0,
2015,49740,"Yuma, AZ",Total,Total,Median Earnings,25551.67578,0,
2016,49740,"Yuma, AZ",Total,Total,Median Earnings,25806.1582,0,
2017,49740,"Yuma, AZ",Total,Total,Median Earnings,26442.13086,0,
2018,49740,"Yuma, AZ",Total,Total,Median Earnings,27254.01172,0,
2019,49740,"Yuma, AZ",Total,Total,Median Earnings,25820.02539,0,
2009,49780,"Zanesville, OH",Total,Total,Median Earnings,28287.59766,0,
2010,49780,"Zanesville, OH",Total,Total,Median Earnings,27048.60742,0,
2011,49780,"Zanesville, OH",Total,Total,Median Earnings,29949.30469,0,
2012,49780,"Zanesville, OH",Total,Total,Median Earnings,27798.61523,0,
2013,49780,"Zanesville, OH",Total,Total,Median Earnings,26029.61523,0,
2014,49780,"Zanesville, OH",Total,Total,Median Earnings,25794.27344,0,
2015,49780,"Zanesville, OH",Total,Total,Median Earnings,26725.91406,0,
2016,49780,"Zanesville, OH",Total,Total,Median Earnings,28495.28711,0,
2017,49780,"Zanesville, OH",Total,Total,Median Earnings,30875.42383,0,
2018,49780,"Zanesville, OH",Total,Total,Median Earnings,30635.60547,0,
2019,49780,"Zanesville, OH",Total,Total,Median Earnings,30201.02344,0,
2009,49820,"Zapata, TX",Total,Total,Median Earnings,20803.55273,0,
2010,49820,"Zapata, TX",Total,Total,Median Earnings,21272.05273,0,
2011,49820,"Zapata, TX",Total,Total,Median Earnings,17833.60156,0,
2012,49820,"Zapata, TX",Total,Total,Median Earnings,18759.37109,0,
2013,49820,"Zapata, TX",Total,Total,Median Earnings,21484.57813,0,
2014,49820,"Zapata, TX",Total,Total,Median Earnings,19748.07227,0,
2015,49820,"Zapata, TX",Total,Total,Median Earnings,21045.7832,0,
2016,49820,"Zapata, TX",Total,Total,Median Earnings,17769.31836,0,
2017,49820,"Zapata, TX",Total,Total,Median Earnings,19739.73438,0,
2018,49820,"Zapata, TX",Total,Total,Median Earnings,20111.17383,0,
2019,49820,"Zapata, TX",Total,Total,Median Earnings,20905.2168,0,
2009,99999,United States,Total,Total,Relative Income Poverty Rate,0.27531222,0,
2010,99999,United States,Total,Total,Relative Income Poverty Rate,0.278733679,0,
2011,99999,United States,Total,Total,Relative Income Poverty Rate,0.279668486,0,
2012,99999,United States,Total,Total,Relative Income Poverty Rate,0.273420648,0,
2013,99999,United States,Total,Total,Relative Income Poverty Rate,0.268545485,0,
2014,99999,United States,Total,Total,Relative Income Poverty Rate,0.261839623,0,
2015,99999,United States,Total,Total,Relative Income Poverty Rate,0.27137596,0,
2016,99999,United States,Total,Total,Relative Income Poverty Rate,0.264043373,0,
2017,99999,United States,Total,Total,Relative Income Poverty Rate,0.263066844,0,
2018,99999,United States,Total,Total,Relative Income Poverty Rate,0.258595864,0,
2019,99999,United States,Total,Total,Relative Income Poverty Rate,0.248139843,0,
2019,1,Top Largest Metropolitan Areas,Total,Total,Relative Income Poverty Rate,0.249912232,0,
2019,2,Other Metropolitan Areas,Total,Total,Relative Income Poverty Rate,0.267247826,0,
2019,3,Non-Metropolitan Areas,Total,Total,Relative Income Poverty Rate,0.248609632,0,
2019,4,All Metropolitan Areas,Total,Total,Relative Income Poverty Rate,0.25647828,0,
2009,10100,"Aberdeen, SD",Total,Total,Relative Income Poverty Rate,0.257058531,0,
2010,10100,"Aberdeen, SD",Total,Total,Relative Income Poverty Rate,0.287855595,0,
2011,10100,"Aberdeen, SD",Total,Total,Relative Income Poverty Rate,0.237378091,0,
2012,10100,"Aberdeen, SD",Total,Total,Relative Income Poverty Rate,0.250416428,0,
2013,10100,"Aberdeen, SD",Total,Total,Relative Income Poverty Rate,0.251390964,0,
2014,10100,"Aberdeen, SD",Total,Total,Relative Income Poverty Rate,0.2338254,0,
2015,10100,"Aberdeen, SD",Total,Total,Relative Income Poverty Rate,0.25439471,0,
2016,10100,"Aberdeen, SD",Total,Total,Relative Income Poverty Rate,0.250504017,0,
2017,10100,"Aberdeen, SD",Total,Total,Relative Income Poverty Rate,0.244952396,0,
2018,10100,"Aberdeen, SD",Total,Total,Relative Income Poverty Rate,0.272767574,0,
2019,10100,"Aberdeen, SD",Total,Total,Relative Income Poverty Rate,0.239858985,0,
2009,10140,"Aberdeen, WA",Total,Total,Relative Income Poverty Rate,0.294660866,0,
2010,10140,"Aberdeen, WA",Total,Total,Relative Income Poverty Rate,0.282906115,0,
2011,10140,"Aberdeen, WA",Total,Total,Relative Income Poverty Rate,0.260569185,0,
2012,10140,"Aberdeen, WA",Total,Total,Relative Income Poverty Rate,0.280357152,0,
2013,10140,"Aberdeen, WA",Total,Total,Relative Income Poverty Rate,0.276363105,0,
2014,10140,"Aberdeen, WA",Total,Total,Relative Income Poverty Rate,0.306460083,0,
2015,10140,"Aberdeen, WA",Total,Total,Relative Income Poverty Rate,0.292771548,0,
2016,10140,"Aberdeen, WA",Total,Total,Relative Income Poverty Rate,0.26991865,0,
2017,10140,"Aberdeen, WA",Total,Total,Relative Income Poverty Rate,0.232538462,0,
2018,10140,"Aberdeen, WA",Total,Total,Relative Income Poverty Rate,0.246975109,0,
2019,10140,"Aberdeen, WA",Total,Total,Relative Income Poverty Rate,0.259727478,0,
2009,10180,"Abilene, TX",Total,Total,Relative Income Poverty Rate,0.27946797,0,
2010,10180,"Abilene, TX",Total,Total,Relative Income Poverty Rate,0.284320891,0,
2011,10180,"Abilene, TX",Total,Total,Relative Income Poverty Rate,0.284550875,0,
2012,10180,"Abilene, TX",Total,Total,Relative Income Poverty Rate,0.264240444,0,
2013,10180,"Abilene, TX",Total,Total,Relative Income Poverty Rate,0.26778549,0,
2014,10180,"Abilene, TX",Total,Total,Relative Income Poverty Rate,0.255967259,0,
2015,10180,"Abilene, TX",Total,Total,Relative Income Poverty Rate,0.239398926,0,
2016,10180,"Abilene, TX",Total,Total,Relative Income Poverty Rate,0.276711583,0,
2017,10180,"Abilene, TX",Total,Total,Relative Income Poverty Rate,0.24740462,0,
2018,10180,"Abilene, TX",Total,Total,Relative Income Poverty Rate,0.266283721,0,
2019,10180,"Abilene, TX",Total,Total,Relative Income Poverty Rate,0.262220144,0,
2009,10220,"Ada, OK",Total,Total,Relative Income Poverty Rate,0.238194853,0,
2010,10220,"Ada, OK",Total,Total,Relative Income Poverty Rate,0.236366957,0,
2011,10220,"Ada, OK",Total,Total,Relative Income Poverty Rate,0.236626223,0,
2012,10220,"Ada, OK",Total,Total,Relative Income Poverty Rate,0.245688885,0,
2013,10220,"Ada, OK",Total,Total,Relative Income Poverty Rate,0.21586509,0,
2014,10220,"Ada, OK",Total,Total,Relative Income Poverty Rate,0.270350903,0,
2015,10220,"Ada, OK",Total,Total,Relative Income Poverty Rate,0.257212579,0,
2016,10220,"Ada, OK",Total,Total,Relative Income Poverty Rate,0.235751778,0,
2017,10220,"Ada, OK",Total,Total,Relative Income Poverty Rate,0.212188914,0,
2018,10220,"Ada, OK",Total,Total,Relative Income Poverty Rate,0.238661036,0,
2019,10220,"Ada, OK",Total,Total,Relative Income Poverty Rate,0.228744701,0,
2009,10300,"Adrian, MI",Total,Total,Relative Income Poverty Rate,0.303609848,0,
2010,10300,"Adrian, MI",Total,Total,Relative Income Poverty Rate,0.318361431,0,
2011,10300,"Adrian, MI",Total,Total,Relative Income Poverty Rate,0.313578188,0,
2012,10300,"Adrian, MI",Total,Total,Relative Income Poverty Rate,0.312444896,0,
2013,10300,"Adrian, MI",Total,Total,Relative Income Poverty Rate,0.280652553,0,
2014,10300,"Adrian, MI",Total,Total,Relative Income Poverty Rate,0.28146258,0,
2015,10300,"Adrian, MI",Total,Total,Relative Income Poverty Rate,0.279899567,0,
2016,10300,"Adrian, MI",Total,Total,Relative Income Poverty Rate,0.26172936,0,
2017,10300,"Adrian, MI",Total,Total,Relative Income Poverty Rate,0.269812405,0,
2018,10300,"Adrian, MI",Total,Total,Relative Income Poverty Rate,0.279185832,0,
2019,10300,"Adrian, MI",Total,Total,Relative Income Poverty Rate,0.27677229,0,
2009,10420,"Akron, OH",Total,Total,Relative Income Poverty Rate,0.27868852,1,Large
2010,10420,"Akron, OH",Total,Total,Relative Income Poverty Rate,0.288966894,1,Large
2011,10420,"Akron, OH",Total,Total,Relative Income Poverty Rate,0.274204403,1,Large
2012,10420,"Akron, OH",Total,Total,Relative Income Poverty Rate,0.292470932,1,Large
2013,10420,"Akron, OH",Total,Total,Relative Income Poverty Rate,0.280422419,1,Large
2014,10420,"Akron, OH",Total,Total,Relative Income Poverty Rate,0.290692329,1,Large
2015,10420,"Akron, OH",Total,Total,Relative Income Poverty Rate,0.281098217,1,Large
2016,10420,"Akron, OH",Total,Total,Relative Income Poverty Rate,0.289795607,1,Large
2017,10420,"Akron, OH",Total,Total,Relative Income Poverty Rate,0.28353852,1,Large
2018,10420,"Akron, OH",Total,Total,Relative Income Poverty Rate,0.285668492,1,Large
2019,10420,"Akron, OH",Total,Total,Relative Income Poverty Rate,0.278047353,1,Large
2009,10460,"Alamogordo, NM",Total,Total,Relative Income Poverty Rate,0.253937066,0,
2010,10460,"Alamogordo, NM",Total,Total,Relative Income Poverty Rate,0.256667823,0,
2011,10460,"Alamogordo, NM",Total,Total,Relative Income Poverty Rate,0.24009642,0,
2012,10460,"Alamogordo, NM",Total,Total,Relative Income Poverty Rate,0.273678303,0,
2013,10460,"Alamogordo, NM",Total,Total,Relative Income Poverty Rate,0.302192152,0,
2014,10460,"Alamogordo, NM",Total,Total,Relative Income Poverty Rate,0.259064585,0,
2015,10460,"Alamogordo, NM",Total,Total,Relative Income Poverty Rate,0.286582381,0,
2016,10460,"Alamogordo, NM",Total,Total,Relative Income Poverty Rate,0.265152335,0,
2017,10460,"Alamogordo, NM",Total,Total,Relative Income Poverty Rate,0.253864855,0,
2018,10460,"Alamogordo, NM",Total,Total,Relative Income Poverty Rate,0.243508086,0,
2019,10460,"Alamogordo, NM",Total,Total,Relative Income Poverty Rate,0.258809149,0,
2009,10500,"Albany, GA",Total,Total,Relative Income Poverty Rate,0.243369028,0,
2010,10500,"Albany, GA",Total,Total,Relative Income Poverty Rate,0.281943589,0,
2011,10500,"Albany, GA",Total,Total,Relative Income Poverty Rate,0.277510256,0,
2012,10500,"Albany, GA",Total,Total,Relative Income Poverty Rate,0.296032548,0,
2013,10500,"Albany, GA",Total,Total,Relative Income Poverty Rate,0.268499017,0,
2014,10500,"Albany, GA",Total,Total,Relative Income Poverty Rate,0.251296401,0,
2015,10500,"Albany, GA",Total,Total,Relative Income Poverty Rate,0.26495713,0,
2016,10500,"Albany, GA",Total,Total,Relative Income Poverty Rate,0.272634238,0,
2017,10500,"Albany, GA",Total,Total,Relative Income Poverty Rate,0.263995588,0,
2018,10500,"Albany, GA",Total,Total,Relative Income Poverty Rate,0.228089407,0,
2019,10500,"Albany, GA",Total,Total,Relative Income Poverty Rate,0.234600604,0,
2009,10540,"Albany-Lebanon, OR",Total,Total,Relative Income Poverty Rate,0.328999341,0,
2010,10540,"Albany-Lebanon, OR",Total,Total,Relative Income Poverty Rate,0.309170991,0,
2011,10540,"Albany-Lebanon, OR",Total,Total,Relative Income Poverty Rate,0.306226432,0,
2012,10540,"Albany-Lebanon, OR",Total,Total,Relative Income Poverty Rate,0.30914396,0,
2013,10540,"Albany-Lebanon, OR",Total,Total,Relative Income Poverty Rate,0.315158784,0,
2014,10540,"Albany-Lebanon, OR",Total,Total,Relative Income Poverty Rate,0.309033722,0,
2015,10540,"Albany-Lebanon, OR",Total,Total,Relative Income Poverty Rate,0.28279388,0,
2016,10540,"Albany-Lebanon, OR",Total,Total,Relative Income Poverty Rate,0.32714501,0,
